Baseline 100%T,,Sample 1 absorber 6.00 12.00,,Sample 1 absorber 6.00  180.00,,Sample 2 SC1 6.00 12.00,,Sample 2 SC1 6.00  180.00,,Sample 3 SC2 6.00 12.00,,Sample 3 SC2 6.00  180.00,,
Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%T,Wavelength (nm),%R,Wavelength (nm),%T,Wavelength (nm),%R,Wavelength (nm),%T,
2500,76.85103607,2500,49.9383316,2500,13.51499271,2500,82.98014069,2500,7.109179974,2500,84.62397003,2500,4.744109631,
2499,76.90830994,2499,50.07710266,2499,13.47017097,2499,83.00850677,2499,7.156186581,2499,84.60797882,2499,4.762593746,
2498,77.02468872,2498,50.09265137,2498,13.44848728,2498,82.89264679,2498,7.171471596,2498,84.42655182,2498,4.777723312,
2497,77.07195282,2497,50.25135803,2497,13.42644501,2497,82.90235138,2497,7.162658215,2497,84.42106628,2497,4.755794048,
2496,77.12632751,2496,50.37699509,2496,13.38652802,2496,82.89873505,2496,7.167529106,2496,84.44159698,2496,4.771168709,
2495,77.20428467,2495,50.42144012,2495,13.36274433,2495,82.76403809,2495,7.210665703,2495,84.32946777,2495,4.789615631,
2494,77.27245331,2494,50.60031509,2494,13.33390045,2494,82.81223297,2494,7.221634865,2494,84.43512726,2494,4.790361404,
2493,77.2723999,2493,50.76637268,2493,13.31041908,2493,82.86929321,2493,7.21770668,2493,84.44860077,2493,4.785657883,
2492,77.28569794,2492,50.86371994,2492,13.28053474,2492,82.84962463,2492,7.253582001,2492,84.39302826,2492,4.781155109,
2491,77.2334137,2491,51.11571121,2491,13.29260921,2491,83.01329803,2491,7.292654514,2491,84.54534912,2491,4.795898438,
2490,77.20746613,2490,51.19242096,2490,13.26864338,2490,82.92727661,2490,7.264179707,2490,84.53324127,2490,4.825500965,
2489,77.14025116,2489,51.36795044,2489,13.25445461,2489,82.93984985,2489,7.267272472,2489,84.57978058,2489,4.80223608,
2488,77.05791473,2488,51.60691071,2488,13.2280035,2488,83.13206482,2488,7.296863079,2488,84.71659088,2488,4.824830055,
2487,77.01863861,2487,51.64073563,2487,13.21401119,2487,83.08956909,2487,7.321938992,2487,84.66194916,2487,4.828681946,
2486,76.95397186,2486,51.82716751,2486,13.21210861,2486,83.11481476,2486,7.326436996,2486,84.67267609,2486,4.833961487,
2485,76.89357758,2485,52.00984955,2485,13.17799282,2485,83.1443634,2485,7.33607769,2485,84.74432373,2485,4.846161842,
2484,76.8633728,2484,52.0560379,2484,13.1511879,2484,83.02396393,2484,7.366508484,2484,84.6625824,2484,4.861430168,
2483,76.8661499,2483,52.19434357,2483,13.14380455,2483,83.04286194,2483,7.383035183,2483,84.68869019,2483,4.866894245,
2482,76.8884964,2482,52.28706741,2482,13.11373138,2482,83.00123596,2482,7.382974625,2482,84.61232758,2482,4.875172138,
2481,76.92959595,2481,52.3115921,2481,13.09563828,2481,82.84809875,2481,7.399113655,2481,84.46616364,2481,4.87711525,
2480,76.92539978,2480,52.46032333,2480,13.07069206,2480,82.87982941,2480,7.416273117,2480,84.49733734,2480,4.88092804,
2479,76.98817444,2479,52.4669342,2479,13.04595184,2479,82.71829224,2479,7.446269035,2479,84.35655975,2479,4.8994174,
